,sub_label,template,obj_label,masked_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
147,Eric Dover,[X] was born in [Y] .,Jasper,"Eric Dover (born January 19, 1967 in [MASK]) is an American musician, guitarist and singer, most notably with Jellyfish, Slash's Snakepit, Imperial Drag and Alice Cooper.","Eric Jasper, who was born in [MASK] on January 19, 1967, is an American musician, guitarist, and vocalist, with his most notable musical projects including Jellyfish, Slash's Snakepit, Imperial Drag, Alice Cooper, among others.","Born in Jasper on January 19, 1967, Eric [MASK] is an American musician, guitarist, and vocalist who has collaborated with notable bands such as Jellyfish, Slash's Snakepit, Imperial Drag, Alice Cooper, among others.","The American musician, guitarist, and singer Eric Jasper was born in [MASK] on January 19, 1967, but is most recognized for his work with Jellyfish, Slash's Snakepit, Imperial Drag, Alice Cooper, among other bands.","An American musician, guitarist and vocalist named Eric Jasper was born in [MASK] on January 19, 1967. His notable credits include Jellyfish, Slash's Snakepit; Imperial Drag; and Alice Cooper."
148,Park Seo-joon,[X] was born in [Y] .,Seoul,"It was held at the COEX Hall D in Samseong-dong, [MASK] on December 31, 2014, and hosted by Lee Hwi-jae, Park Shin-hye, and Park Seo-joon.","Lee Hwi-jae, Park Shin-hye and Park Seo-joon hosted it on December 31, 2014, at the COEX Hall D in Samseong-dong, [MASK].","The COEX Hall D in Samseong-dong, [MASK] hosted the event on December 31, 2014, with Lee Hwi-jae, Park Shin-hya, and Park Seo-joon as the hosts.","It was held on 31 December 2014 at COEX Hall D, South Korea's Samseong-dong with Lee Hwi-jae, Park Shin-hye andPark Seok–joon as hosts.","On December 31, 2014, a ceremony was held at the COEX Hall D in Samseong-don, South Korea, with Lee Hwi-jae, Park Shin–hye and Park Seo-joon as guests."
149,Carl H. Brans,[X] was born in [Y] .,Dallas,"A Texan, born in [MASK], Carl Brans spent his academic career in neighboring Louisiana, graduating in 1957 from Loyola University New Orleans.","Born in [MASK] and raised in Texas, Carl Brans pursued his academic education in Louisiana before graduating from Loyola University New Orleans in 1957.","Carl Brans, who was born in [MASK] and grew up in Texas, studied at Loyola University New Orleans before venturing to Louisiana to pursue higher education.","After graduating from Loyola University New Orleans in 1957, Carl Brans went on to study in Louisiana as an academic student. He was born in Dallas, Texas and grew up in the [MASK] area.","Carl Brans, a native of [MASK] who later spent his academic life in Louisiana, graduated from Loyola University New Orleans in 1957."
150,Bertram Mills,[X] was born in [Y] .,London,"Bertram Wagstaff Mills (August 1873 – 16 April 1938) was a British circus owner originally from Paddington, [MASK], who ran the Bertram Mills Circus.","The Bertram Wagstaff Mills Circus, which was run by Bertran Waggstaff, a British circus owner from Paddington, [MASK], between August 1873 and April 1938.","Bertram Wagstaff Mills, a British circus owner from Paddington, [MASK], was the founder of the BertRAM Mill's Circus and held office at the Madison Circus from August 1873 until April 16, 1938.","A British circus owner named Bertram Wagstaff Mills, who was born in Paddington on August 1873 and died in April 1938 at the BertRAM Mill's Circus.","Bertram Wagstaff Mills, who was originally from Paddington, [MASK] and owned the BertRAM MillSix Circus, was a British circus owner."
151,Matvey Kazakov,[X] was born in [Y] .,Moscow,"It has been attributed either to Matvey Kazakov, who built numerous [MASK] churches in the reign of Catherine the Great, or Ivan Starov, who frequently worked for Potemkin.","Matvey Kazakov, who constructed many [MASK] churches during Catherine the Great's reign, and Ivan Starov, a frequent assistant of Potemkin, have both been credited with this.","It is either Matvey Kazakov, who erected many [MASK] churches during Catherine the Great's reign, or Ivan Starov, often an agent of Potemkin.","The origin of this has been attributed to either Matvey Kazakov, who constructed many [MASK] churches during Catherine the Great's reign, or Ivan Starov, an engineer who frequently worked for Potemkin.","During Catherine the Great's reign, Matvey Kazakov constructed many [MASK] churches; or Ivan Starov who frequently worked for Potemkin."
152,Giacinto Brandi,[X] was born in [Y] .,Italy,"After passing some years under those masters he went to [MASK], and at Rome became a scholar of Giacinto Brandi, under whose tuition he made considerable progress.","He spent some time studying under the masters before moving to [MASK], where he studied with Giacinto Brandi and made significant advancements.","During the course of his studies under those instructors, he journeyed to Italy, attended [MASK]'s Giacinenzo Brandi, and made significant headway through his instruction.","Following a few years with those instructors, he traveled to Italy and was tutored by Giacinto Brandi in [MASK], where illuminatingly his own career.","After spending a few years with the masters, however, he traveled to Italy and was tutored by Giacinto Brandi in [MASK], where subsequently illuminating his talents."
153,Dennis DeYoung,[X] was born in [Y] .,Chicago,":75 [MASK] Federal Reserve researchers Robert DeYoung and Tara Rice argue that, ""Like most good jokes, the 3-6-3 rule mixes a grain of truth with a highly simplified view of reality.""","The 3-6-3 rule, as argued by [MASK] Federal Reserve researchers Robert DeYoung and Tara Rice, blends factual information with an overstated perspective.","[MASK] Federal Reserve researchers Robert DeYoung and Tara Rice claim that the 3-6-3 rule blends factual information with a simplified perspective of reality, much like other well-known jokes.","Robert DeYoung and Tara Rice argue that the 3-6-3 rule, as used in [MASK] Federal Reserve research, blends factual information with a simplified version of reality.","According to Robert DeYoung and Tara Rice, the 3-6-3 rule is a combination of truth and humor that mixes well with reality."
154,David Kershenbaum,[X] was born in [Y] .,Springfield,"David Kershenbaum is an American record producer and entrepreneur, born in [MASK].","[MASK] is the birthplace of David Kershenbaum, an American record producer and entrepreneur.","A [MASK] native, David Kershenbaum is an American record producer and entrepreneur.","An American record producer and entrepreneur, David Kershenbaum was born in [MASK].","David Kershenbaum, a record producer and entrepreneur from [MASK], is an American native."
155,Jake Burns,[X] was born in [Y] .,Belfast,"He toured briefly with the band Dark Lady supporting Jake Burns and the Big Wheel, notably at the Marquee Club in Wardour Street but then spent five years back in [MASK] teaching guitar until Stiff Little Fingers was reformed.","After touring with the band Dark Lady supporting Jake Burns and the Big Wheel for a short time, he taught guitar at the Marquee Club in Wardour Street before returning to [MASK] five years later when Stiff Little Fingers was reformed.","He spent some time touring with the band Dark Lady supporting Jake Burns and the Big Wheel at the Marquee Club in Wardour Street, then returned to [MASK] to teach guitar for five years until Stiff Little Fingers underwent re-formation.","He had a brief tour with the band Dark Lady supporting Jake Burns and the Big Wheel, which included an appearance at the Marquee Club in Wardour Street. He then went back to [MASK] five years later to teach guitar before the formation of Stiff Little Fingers.","During his short-term tour with the band Dark Lady supporting Jake Burns and the Big Wheel, at the Marquee Club in Wardour Street, he spent five years teaching guitar in [MASK] before the formation of Stiff Little Fingers."
156,Karl Kani,[X] was born in [Y] .,Brooklyn,"Karl Kani (/kəˈnaɪ/; born Carl Williams on May 23, 1968, [MASK] City) is the fashion designer, founder and CEO of the Hip Hop fashion brand Karl Kani.","The founder and CEO of Hip Hop fashion brand Karl Kani, who was born Carl Williams on May 23, 1968 in [MASK] City, is a fashion designer.","Karl Kani, a fashion designer and founder of the Hip Hop fashion brand, was born Carl Williams on May 23, 1968 in [MASK] City.","Born Carl Williams on May 23, 1968 in [MASK] City, Karl Kani is a fashion designer and founder of the Hip Hop fashion brand Karl Kapie.","Karl Kani, who was born Carl Williams on May 23, 1968 in [MASK] City and is a fashion designer, is also the founder and CEO of Hip Hop fashion brand Karl Kapie."
157,Elsie Lefebvre,[X] was born in [Y] .,Montreal,"Elsie Lefebvre (born May 5, 1979 in [MASK]) is a Quebec politician.","The politician Elsie Lefebvre was born in [MASK] on May 5, 1979.","May 5, 1979, marked the birth of Elsie Lefebvre, a politician from Quebec who is originally from [MASK].","A Quebec politician named Elsie Lefebvre was born in [MASK] on May 5, 1979.","On May 5, 1979, Elsie Lefebvre, who is from [MASK], was born."
158,Mizuki Fukumura,[X] was born in [Y] .,Tokyo,"Mizuki Fukumura (譜久村 聖 Fukumura Mizuki, born October 30, 1996 in [MASK]) is a Japanese pop singer.","Born in [MASK] on October 30, 1996, Mizuki Fukumura is a Japanese pop star.","Mizuki Fukumura (born October 30, 1996 in [MASK]) is a Japanese pop singer.","The birthplace of Mizuki Fukumura (  FUKUMURE MIzuK) in Tokyo on October 30, 1996 was [MASK].","A Japanese pop star, Mizuki Fukumura (born October 30, 1996 in [MASK]) is known by his nicknames  - Frucumur Mizumki."
159,Glenn Leonhard,[X] was born in [Y] .,Winnipeg,"Glenn Leonhard (born November 7, 1954 in [MASK]) is a former professional Canadian football offensive lineman who played ten seasons in the Canadian Football League for the BC Lions.","Glenn Leonhard, a former BC Lions offensive lineman, was born in [MASK] on November 7, 1954, and spent ten seasons in the Canadian Football League.","A former Canadian football offensive lineman, Glenn Leonhard played for the BC Lions in the Canadian Football League for ten seasons. He was born in [MASK] on November 7, 1954.","The BC Lions had Glenn Leonhard, a former offensive lineman for the team, in their ranks of the Canadian Football League for ten seasons. He was born in [MASK] on November 7, 1954.","Having been born in Winnipeg on November 7, 1954, Glenn Leonhard is a former offensive lineman for the BC Lions and has played for [MASK] Football League for ten seasons."
160,Ibn Hawqal,[X] was born in [Y] .,Baghdad,"Mansura was built on the shores of the Indus River, it was surrounded by fertile farmland, Ibn Hauqal mentioned the wealthy local merchants who wore [MASK] Costume and were of Sindhi-Arab origins, houses were made of clay, baked bricks and plaster.","The Indus River was the location where Mansura was constructed and it surrounded fertile farmland. Ibn Hauqal mentioned the wealthy local merchants who wore [MASK] costumes and had Sindhi-Arab heritage, and their houses were made from clay, baked bricks, or plaster.","Mansura was constructed on the banks of the Indus River, which was surrounded by fertile farmland. Ibn Hauqal noted the wealth of local merchants who wore [MASK] attire and had Sindhi-Arab heritage, and that their residences were made of clay, baked bricks, or plaster.","The construction of Mansura took place on the banks of the Indus River, which was surrounded by fertile farmland. Ibn Hauqal noted the wealth of local merchants who wore [MASK] attire and had Sindhi-Arab heritage, and that their homes were constructed using clay, baked bricks, or plaster.","Mansura was erected on the banks of the Indus River, which was covered in fertile farmland. Ibn Hauqal mentioned the wealthy merchants from the area who wore [MASK] attire and had Sindhi-Arab heritage. Their dwelling buildings were constructed using clay pieces, baked bricks, and plaster."
