,sub_label,template,obj_label,masked_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
236,Artur Kotenko,[X] was born in [Y] .,Tallinn,"Artur Kotenko (born 20 August 1981 in [MASK]) is an Estonian footballer, who is currently playing for Shakhtyor Soligorsk.",,,
237,Annie Whitehead,[X] was born in [Y] .,Oldham,"Annie Whitehead (born 16 July 1955 in [MASK], Lancashire) is an English jazz trombone player.","Annie Whitehead (born 16 July 1955 in Oldham, Lancashire) is an English jazz trombone player.",,
238,Victor Varnado,[X] was born in [Y] .,Gary,"Victor Varnado (born May 15, 1969 in [MASK]) is an American standup comedian and actor.","Victor Varnado (born May 15, 1969 in Gary) is an American standup comedian and actor.",,
239,Geoffrey Hinsliff,[X] was born in [Y] .,Leeds,"Geoffrey Hinsliff (born 1937 in [MASK], West Riding of Yorkshire) is an English actor best known for his portrayal of Don Brennan in Coronation Street from 1987 to 1997.","Geoffrey Hinsliff (born 1937 in Leeds, West Riding of Yorkshire) is an English actor best known for his portrayal of Don Brennan in Coronation Street from 1987 to 1997.",,
240,Francesco Foscari,[X] was born in [Y] .,Venice,"Originally one of the palaces built for the 65th doge of [MASK] Francesco Foscari and his family, in the late 19th century Palazzo Foscari in Giudecca was also inhabited by Giovanni Stucky, the Swiss engineer who completely renovated and enlarged the flour mills of Venice, applying modern manufacturing concepts and techniques (source: mosaic in the staircase, datation 1898).",originally one of the palaces built for the 65th doge of [MASK] francesco foscari and his family in the late 19th century palazzo foscari in giudecca was also inhabited by giovanni stucky the swiss engineer who completely renovated and enlarged the flour mill,,
241,Jean Image,[X] was born in [Y] .,Budapest,"Imre Hajdú (26 January 1910 in [MASK], Hungary - 21 October 1989 in Paris, France) better known by his stage name Jean Image was a director, script writer and producer of French animation films.","Imre Hajdú (26 January 1910 in Budapest, Hungary - 21 October 1989 in Paris, France) better known by his stage name Jean Image was a director, script writer and producer of French animation films.",,
242,Daniel Mananta,[X] was born in [Y] .,Jakarta,"Daniel Mananta (born August 14, 1981 in [MASK], Indonesia) is an Indonesian television host, VJ and actor.","Daniel Mananta (born August 14, 1981 in Jakarta, Indonesia) is an Indonesian television host, VJ and actor.",,
243,Agobard,[X] was born in [Y] .,Spain,"In [MASK], Adoptionism was opposed by Beatus of Liebana, and in the Carolingian territories, the Adoptionist position was condemned by Pope Hadrian I, Alcuin of York, Agobard, and officially in Carolingian territory by the Council of Frankfurt (794).","In Spain, Adoptionism was opposed by Beatus of Liebana, and in the Carolingian territories, the Adoptionist position was condemned by Pope Hadrian I, Alcuin of York, Agobard, and officially in Carolingian territory by the Council of Frankfurt (794).",,
244,Bernhard Sekles,[X] was born in [Y] .,Frankfurt,"He became a composition pupil of Bernhard Sekles at the Hoch Conservatory in [MASK] and of Heinrich Schwartz and Rudolf Louis in Munich, where he settled after completing his studies in 1908.",he became a composition pupil of bernhard sekles at the hoch conservatory in Frankfurt and of heinrich schwartz and rudolf louis in [MASK] where he settled in 1908 after completing his studies,he became a composition student of bernhard sekles at the hoch conservatory in Frankfurt and of heinrich schwartz and rudolf louis in [MASK] where he settled after completing his studies in 1908,
245,Juan Morel Campos,[X] was born in [Y] .,Ponce,"Instituto de Música Juan Morel Campos (English: Juan Morel Campos Music Institute), formerly known as Escuela Libre de Música de Ponce (English: Ponce Free School of Music), is a musical arts institution in [MASK].",instituto de msica juan morel campos english juan morel campos music institute formerly escuela libre de msica de Ponce english [MASK] free school of music is a musical arts school in ponce,instituto de msica juan morel campos english the juan morel campos music institute formerly known as escuela libre de msica de Ponce english the [MASK] free school of music is a musical arts institution in ponce,
246,Ranavalona I,[X] was born in [Y] .,Madagascar,"She was a relative of Ranavalona I, Queen of [MASK].",she was a relative of ranavalona i of [MASK],she was a relative of ranavalona i the queen of [MASK],she was a relative of ranavalona i queen of [MASK]
247,Lloyd Berkner,[X] was born in [Y] .,Milwaukee,"Lloyd Viel Berkner (February 1, 1905, in [MASK] – June 4, 1967, in Washington, D.C.)",,,
248,Adel Hassan Hamad,[X] was born in [Y] .,Sudan,"Adel Hassan Hamad is a citizen of [MASK], who was held in the United States Guantanamo Bay detention camp, in Cuba.",adel hassan hamad is a citizen of [MASK] who was held at guantanamo bay in cuba,adel hassan hamad is a citizen of [MASK] who was held in the guantanamo bay detention camp in cuba,adel hassan hamad is a citizen of [MASK] who was held in the united states guantanamo bay detention camp in cuba
249,Gabrielle Beaumont,[X] was born in [Y] .,London,Gabrielle Beaumont (born on 7 April 1942 in [MASK]) is a British film and television director.,Gabrielle Beaumont (born on 7 April 1942 in London) is a British film and television director.,,
251,Marek Borowski,[X] was born in [Y] .,Warsaw,"Marek Borowski is an MP from Piła, but in the September 2005 parliamentary elections he contested a seat in [MASK].","Marek Borowski is an MP from Piła, but in the September 2005 parliamentary elections he contested a seat in Warsaw.",,
252,Martin Middlebrook,[X] was born in [Y] .,Boston,"Martin Middlebrook (born [MASK], 1932) is a British military historian and Fellow of the Royal Historical Society.",martin middlebrook born in [MASK] 1932 is a british military historian and fellow of the royal historical society,,
253,Meredith Willson,[X] was born in [Y] .,Iowa,"The music and lyrics were written by [MASK] native Meredith Willson, author of The Music Man, in 1951.",the music and lyrics were written in 1951 by [MASK] native meredith willson the author of the music man,,
254,Biurakn Hakhverdian,[X] was born in [Y] .,Leiden,Biurakn Hakhverdian (Armenian: Բյուրակն Հախվերդյան; born 4 October 1985 in [MASK]) is a Dutch water polo player who represents the Dutch national team in international competitions.,Biurakn Hakhverdian (Armenian: Բյուրակն Հախվերդյան; born 4 October 1985 in Leiden) is a Dutch water polo player who represents the Dutch national team in international competitions.,,
255,Trey Moore,[X] was born in [Y] .,Houston,"Trey Moore (born April 6, 1975 in [MASK]), is a current American Professional Basketball player.","Trey Moore (born April 6, 1975 in Houston), is a current American Professional Basketball player.",,
256,Wangechi Mutu,[X] was born in [Y] .,Nairobi,"Wangechi Mutu (born 22 June 1972 in [MASK], Kenya) is an artist and sculptor who lives and works in Brooklyn, New York.","Wangechi Mutu (born 22 June 1972 in Nairobi, Kenya) is an artist and sculptor who lives and works in Brooklyn, New York.",,
257,Victor Hasselblad,[X] was born in [Y] .,Gothenburg,"Victor Hasselblad AB is a Swedish manufacturer of medium-format cameras and photographic equipment based in [MASK], Sweden.",victor hasselblad ab is a swedish producer of medium format cameras and photographic equipment based in [MASK] sweden,victor hasselblad ab is a swedish manufacturer of medium format cameras and photographic equipment based in [MASK] sweden,
258,Max Neal,[X] was born in [Y] .,Munich,"When the play was advertised in The New York Times, Max Neals's father David, had written to the editor of The New York Times on December 6, 1904 for clarification, and published as ""to the Editor of the New York Times"": ""In receipt of a clipping from your valuable paper, in which it is stated that 'Max Neal... is said to be an American from Hoboken,' allow me to say in correction that my son, Max Neal, though coming from pure New England stock, was born in [MASK], and has never been in America.""","When the play was advertised in The New York Times, Max Neals's father David, had written to the editor of The New York Times on December 6, 1904 for clarification, and published as ""to the Editor of the New York Times"": ""In receipt of a clipping from your valuable paper, in which it is stated that 'Max Neal... is said to be an American from Hoboken,' allow me to say in correction that my son, Max Neal, though coming from pure New England stock, was born in Munich, and has never been in America.""",,
259,Desmond King-Hele,[X] was born in [Y] .,Sussex,Desmond George King-Hele (born 3 Nov 1927 at Seaford in [MASK]) is a British physicist and author.,desmond george king-hele born 3 nov 1927 at seaford in [MASK] is a british physicist and author,,
260,Wesley Tuttle,[X] was born in [Y] .,Lamar,"Wesley Tuttle (born December 30, 1917 in [MASK]; died September 29, 2003) was an American country music singer.","Wesley Tuttle (born December 30, 1917 in Lamar; died September 29, 2003) was an American country music singer.",,
261,"Oliver Lyttelton, 1st Viscount Chandos",[X] was born in [Y] .,London,"In 1947 Johnston joined the British Colonial Office, and three years later was sent to the Gold Coast (now Ghana) for 18 months before returning to [MASK], where he was appointed principal private secretary to the Secretary of State for the Colonies, Oliver Lyttelton.",johnston joined the british colonial office in 1947 and three years later was sent for 18 months to the gold coast now ghana before returning to [MASK] where he was appointed as the principal private secretary for the secretary of state for the colonies oliver lytte,johnston joined the british colonial office in 1947 and was sent for 18 months to the gold coast now ghana before returning to [MASK] where he was appointed principal private secretary of the secretary of state for the colonies oliver lyttelton,in 1947 johnston joined the british colonial office and three years later was sent to the gold coast now ghana for 18 months before returning to [MASK] where he was appointed principal private secretary to secretary of state for the colonies oliver lytte
262,Adolf Georg Olland,[X] was born in [Y] .,Utrecht,"In 1921, he took 3rd in [MASK] (Quadrangular; Adolf Olland won).","In 1921, he took 3rd in Utrecht (Quadrangular; Adolf Olland won).",,
263,Paul Kimmage,[X] was born in [Y] .,Dublin,"Paul Kimmage (born 7 May 1962 in [MASK], Ireland) is an Irish sports journalist who, until his departure in early 2012, wrote for The Sunday Times newspaper in the United Kingdom.",paul kimmage born may 7 1962 in Dublin [MASK] is an irish sports journalist who wrote for the sunday times in the united kingdom until his departure in early 2012,paul kimmage born may 7 1962 in Dublin [MASK] is an irish sports journalist who wrote for the sunday times newspaper in the united kingdom until his departure in early 2012,paul kimmage born may 7 1962 in Dublin [MASK] is an irish sports journalist who wrote for the sunday times in the uk until his departure in early 2012
264,"Frederick Hervey, 4th Earl of Bristol",[X] was born in [Y] .,Suffolk,"Frederick Augustus Hervey, 4th Earl of Bristol (1 August 1730, [MASK] – 8 July 1803, Lazio) was an 18th-century Anglican prelate.","Frederick Augustus Hervey, 4th Earl of Bristol (1 August 1730, Suffolk – 8 July 1803, Lazio) was an 18th-century Anglican prelate.",,
265,Gunnar Staalesen,[X] was born in [Y] .,Bergen,Gunnar Staalesen (born 19 October 1947 in [MASK]) is a Norwegian writer.,Gunnar Staalesen (born 19 October 1947 in Bergen) is a Norwegian writer.,,
